KEY	영어	한국어	중국어(간체)
FXLoginVC:btnClean	Manage Connected Devices	연결 기기 정리	管理已连接的设备
FXLoginVC:error_networkDisconnected	Please check your network connection.	네트워크 연결을 확인하시기 바랍니다.	请确认网络连接！
FXLoginVC:error_devicesExceeded	You cannot sign in with this device\nbecause you are already using the maximum number of devices connected to the application.	등록 가능한 기기를 초과하여\n로그인 할 수 없습니다.	已超过可注册的设备数量，而无法正常登录！
FXLoginVC:error_authentication7	This account is not verified yet. To use the service continually, you must first verify your account. Press OK to send a verification code to %@.  You can click the link included in the e-mail to finish registering your account for the Polaris Office.	인증되지 않은 계정입니다. 서비스를 이용하려면 계정 인증을 완료해야 합니다. 확인 버튼을 누르면 %@(으)로 메일을 보냅니다. 이메일에 제공된 링크를 클릭해야 Polaris Office 서비스 계정 만들기가 완료됩니다.	尚未认证的账户！您完成账户认证，才能正常使用服务。点击确认按钮时向 %@ 发送邮件。点击所收到的电子邮件内的链接后，才能完成 Polaris Office 服务账户创建。
FXLoginVC:alertPreventPasswd8	You have entered an incorrect password\n%d consecutive times.\nIf you enter an incorrect password 10 consecutive times,\nthen you have to reset your password.	비밀번호를 연속으로 %d회\n 잘못 입력하였습니다.\n연속으로 10회 잘못 입력할 경우 \n비밀번호를 재설정해야 합니다.	已连续 %d 次错误输入密码！\n连续错误输入 10 次后，需要重设密码。
FXLoginVC:alertPreventPasswd10	You have entered an incorrect password\n10 consecutive times.\nPlease reset your password.	비밀번호를 연속으로 \n10회 잘못 입력하였습니다.\n비밀번호를 재설정 해 주세요.	密码连续错误输入 10 次！\n请重设密码。
FXLoginVC:alertDeletedAccount	This account has already been deleted. To reuse this username, please wait 7 days.	이미 탈퇴한 계정입니다.\n 이 계정은 탈퇴 7일 이후에 \n 사용할실 수 있습니다.	已注销服务的用户名，注销 7 日后可以重新使用。
FXLoginVC:btnBack	Sign In	로그인	登录
FXLoginVC:btnCancel	Sign In	로그인	登录
FXLoginVC:lblTitle.FindPW	Find Password	비밀번호 찾기	找回密码
FXLoginVC:lblBody	Please enter your e-mail address to receive a password to reset the account.\n If you do not receive this e-mail in a few minutes, please press \Resend\".\n Please check your spam mail folder before resending the request."	비밀번호 재설정을 위해 Polaris Office 계정의 이메일 주소를 입력해 주시면 \n 안내 메일을 보내드립니다.	请输入 Polaris Office 账户的电子邮箱地址，系统向所输入的电子邮箱发送重设密码向导邮件。
FXLoginVC:lblBody.phone	Please enter your e-mail address to receive a password to reset the account.\n If you do not receive this e-mail in a few minutes, please press \Resend\".\n Please check your spam mail folder before resending the request."	비밀번호 재설정을 위해 Polaris Office 계정의 이메일 주소를 입력해 주시면 \n 안내 메일을 보내드립니다.	请输入 Polaris Office \n账户的电子邮箱地址，\n系统向所输入的电子邮箱\n发送重设密码向导邮件。
FXLoginVC:lblSubTitle	Did you forget your password?	비밀번호를 잊으셨나요?	忘记密码了？
FXLoginVC:btnCommit	Send	보내기	发送
FXLoginVC:lblEmail	E-mail	이메일	电子邮件
FXLoginVC:tfEmail.placeholder	Enter E-mail	E-mail 입력	输入电子邮箱地址
FXLoginVC:error_emptyEmail	Please enter an e-mail address.	E-mail을 입력하셔야 합니다.	需要输入电子邮箱地址
FXLoginVC:toastFindPassword	Your password has been sent to\n %@.	%@'로\n 메일이 전송되었습니다.	已向 %@ 发送邮件！
FXLoginVC:112again	The account verification e-mail is already sent.	계정 인증 email이 이미 발송되었습니다.	已发送账户认证邮件！
FXLoginVC:wrongName	The name \%@\", Cannot be used."	\%@\"이름은\n사용할 수 없습니다."	不能使用\%@\"名称！"
FXLoginVC:lblTitle.Join	Sign up	회원 가입	注册会员
FXLoginVC:lblMemberJoin	Sign up	회원 가입	注册会员
FXLoginVC:lblSecName	Last name	성	姓
FXLoginVC:lblFirstName	First Name	이름	名
FXLoginVC:lblID	Email	이메일	账户
FXLoginVC:lblPW	Password	비밀번호	密码
FXLoginVC:lblPWCheck	Confirm PW	비밀번호 확인	确认密码
FXLoginVC:tfSecName	Polaris	Polaris	Polaris
FXLoginVC:tfNeeded	Required	필요함	必填
FXLoginVC:tfOptional	Optional	선택사항	可选
FXLoginVC:tfID	example@mail.com	example@mail.com	example@mail.com
FXLoginVC:wvAgree	I agree to Polaris Office <a href=\https://www.Polarisoffice.com/view/rules\">Terms of Service</a> and <a href=\"https://www.Polarisoffice.com/view/privacy\">Privacy policy</a>."	Polaris Office의 <a href=\https://www.Polarisoffice.com/view/rules\">이용약관</a>과 <a href=\"https://www.Polarisoffice.com/view/privacy\">개인정보 수집 및 이용</a>에 동의합니다."	我同意 Polaris Office 的<a href=\https://link.Polarisoffice.com/view/rules\">服务条款</a>和<a href=\"https://link.Polarisoffice.com/view/privacy\">隐私政策</a>。"
FXLoginVC:lblShowPW	Show Password	비밀번호 표시	显示密码
FXLoginVC:lblJoin	Sign up	가입하기	注册
FXLoginVC:alertJoinTitle	Notification	알림	通知
FXLoginVC:alertJoinOK	Thank you for Signing Up!	가입이 완료되었습니다.	注册完成！
FXLoginVC:alertJoinFail	Error occured during the registration process.	가입 중 오류가 발생했습니다.	注册过程中发生错误！
FXLoginVC:alertPreventFirstName	Last name cannot contain special characters or numbers.	성에 특수문자나 숫자는\n입력할 수 없습니다.	姓不能输入特殊字符或数字！
FXLoginVC:alertPreventLastName	First name cannot contain special characters or numbers.	이름에 특수문자나 숫자는\n입력할 수 없습니다.	名不能输入特殊字符或数字！
FXLoginVC:alertPreventEmail	Please enter your e-mail address in the correct format.	이메일 형식으로\n입력해 주세요.	请以电子邮箱地址格式输入！
FXLoginVC:alertPreventPassword	Password must consist of 4 to 20 English letters and numbers.	비밀번호는 영문과 숫자를 혼용하여\n4~20자로 입력해 주세요.	密码需要包含 4~20 个英文字符和数字！
FXLoginVC:alertPreventMaxLength	Any entered string that exceeds the maximum length will be cut off.	최대 길이 이상 입력 시\n더 이상 입력되지 않습니다.	超过最大长度的部分不会被输入！
FXLoginVC:alertPreventPasswd	Password must consist of English letters and numbers.	비밀번호는 영문과 숫자를\n혼용하여 입력해 주세요.	密码请混合输入英文字符和数字！
FXLoginVC:alertPreventSamePasswd	Please check your password and enter it again.	비밀번호 확인 후\n다시 입력해 주세요.	确认密码后请重新输入！
FXLoginVC:alertExistEmail	This ID is already registered.\n Please try signing in.	이미 가입된 계정입니다.\n로그인으로 해주세요.	已注册过的账户！\n请直接登录。
FXLoginVC:Login	// Logging in...	// 로그인 중입니다.	// 正在登录
FXLoginVC:Wait	Please wait...	잠시 기다려 주십시오	请稍等！
FXLoginVC:btnUnderJoin	Do you already have an account? Sign In!	이미 계정이 있으신가요?	您已经有账户吗？
FXLoginVC:alertJoinAgree	Please agree to the terms of service.	서비스 약관에 동의하세요.	请同意使用条款！
FXLoginVC:lblJoinPWShow	Show	표시	显示
FXLoginVC:lblJoinPWHide	Hide	숨기기	隐藏
FXLoginVC:Confirm	Verifying...	인증중	正在认证...
FXLoginVC:lblTitle.Merge	Merge account	계정 통합(%@)	合并账户
FXLoginVC:lblMerge	Merge	통합하기	合并
FXLoginVC:PopAlert.FailLogin	Failed to sign in with Facebook	Facebook 로그인 실패	Facebook 登录失败！
FXLoginVC:PopAlert.DeniedLogin	Failed to connect to FaceBook account. \n Please allow access permission under your Facebook account settings.	Facebook 연결이 실패하였습니다.\n사용자의 Facebook 계정에서 접근 권한을 허용해 주십시오.	Facebook的连接失败。\n 您的Facebook帐户，以允许访问它。
FXLoginVC:PopAlert.CancelText	Done	확인	确认
FXLoginVC:btnFBLogin	Sign in with Facebook	Facebook으로 로그인	使用 Facebook 账户登录
FXLoginVC:btnFBJoin	Sign up with Facebook	Facebook으로 가입	使用 Facebook 账户注册
FXLoginVC:nameTitle	Name	이름	名
FXLoginVC:lblLine	OR	또는	或
FXLoginVC:PopAlert.errorFacebookEmail	You cannot create new account because the email is not registered in your facebook account.	Facebook 계정에 이메일이 등록되지 않아 회원 가입을 할 수 없습니다.	发送电子邮件的Facebook帐户没有注册，则不能注册。
FXLoginVC:lblFBGuide.Merge	Sign Up using Facebook account to create Polaris Office account. \n Please create a password for Polaris Office.	기존 Polaris Office 계정을 Facebook과 통합합니다.\nPolaris Office 계정 비밀번호를 입력해주세요.	这将编译的Facebook到目前的Polaris Office帐户。 \n 请将输入密码。
FXLoginVC:lblFBGuide.Join	Sign Up using Facebook account to create Polaris Office account. \n Please create a password for Polaris Office.	Facebook으로 Polaris Office를 시작합니다.\nPolaris Office 계정에 사용할 비밀번호를 입력해주세요.	启动Polaris Office被Facebook。 \ n请将输入密码从Polaris Office帐户才能使用。
FXLoginVC:lblTitle.FBJoin	Sign Up(%@)	회원 가입(%@)	注册会员(%@)
FXLoginVC:PopAlert.errorUserInfo	Failed to bring the information from Facebook.	Facebook 정보를 받아오는데 실패하였습니다.	无法使Facebook的信息。
			
FXPLoginVC:lblLoginTitle	Sign In	로그인	登录
FXPLoginVC:email	Email	이메일	电子邮件
FXPLoginVC:password	Password	비밀번호	密码
FXPLoginVC:findPassword	Find Password	비밀번호 찾기	找回密码
			
FXPopCoworkAttendee:lblTitle	Share	공유자	共享人
FXPopCoworkAttendee:lblOwnerTitle	Owner	소유자	所有人
FXPopCoworkAttendee:lblAttendeeTitle	Collaborator	공동 작업자	协作人
FXPopCoworkAttendee:lblAttendeeTitle2	Collaborator (%d)	공동 작업자 (%d)	协作人 (%d)
FXPopCoworkAttendee:lblTitleDocCast	Attendee	참여자	参与人
FXPopCoworkAttendee:lblOwnerTitleDocCast	Owner	주관자	主持人
FXPopCoworkAttendee:lblAttendeeTitleDocCast	Owner	참석자	出席人
FXPopCoworkAttendee:lblAttendeeTitleDocCast2	Owner (%d)	참석자 (%d)	出席人 (%d)
FXPopCoworkAttendee:lblIsPublic.on	Public	공개	公开
FXPopCoworkAttendee:lblIsPublicDesc.on	Anyone can view	회원 여부와 관계없이 문서 보기 가능	不管注册与否，均可查看文档
FXPopCoworkAttendee:lblIsPublic.off	Private	비공개	私人
FXPopCoworkAttendee:lblIsPublicDesc.off	Only the users who were invited can view	초대 받은 계정으로만 문서 보기 가능	只有被邀请的账户才能查看文档
FXPopCoworkAttendee:failedRequestAttendee	Failed to request the attendee's list information.	참여자 목록 정보 요청에 실패하였습니다.	参与人列表请求失败！
FXPopCoworkAttendee:failedDeleteAttendee	Failed to delete collaborator	공동 작업자 삭제를 실패했습니다.	协作人删除失败！
FXPopCoworkAttendee:taskStopped	This document is no longer shared with '%@'.	%@'님과 문서 공유가 중단되었습니다.	与\%@\"的共享已被中断！"
FXPopCoworkAttendee:failedRequestAttendee	Failed to request the participant's information.	참여자 목록 정보 요청에 실패하였습니다.	参与人列表请求失败！
			
FXPopCoworkContact:lblTitle	Address Book	주소록	通讯录
FXPopCoworkContact:lblShare	Share	공유하기	共享
FXPopCoworkContact:btnContact	Address Book	주소록	通讯录
FXPopCoworkContact:btnRecent	Recent	최근 발신	最近发送
FXPopCoworkContact:lblDetailTitle	Information	정보	信息
FXPopCoworkContact:lblIsPublic.on	Public	공개	公开
FXPopCoworkContact:lblIsPublicDesc.on	Anyone can view	회원 여부와 관계없이 문서 보기 가능	不管注册与否，均可查看文档
FXPopCoworkContact:lblIsPublic.off	Private	비공개	私人
FXPopCoworkContact:lblIsPublicDesc.off	Only the users who were invited can view	초대 받은 계정으로만 문서 보기 가능	只有被邀请的账户才能查看文档
FXPopCoworkContact:failedRequestAttendee	Failed to request a participants information.	참여자 목록 정보 요청에 실패하였습니다.	参与人列表请求失败！
FXPopCoworkContact:failedAddress	Failed to request an information from address book.	주소록 목록 정보 요청에 실패하였습니다.	通讯录列表请求失败！
FXPopCoworkContact:failedUpdateAttendee	Failed to create a participant list.	참여자 목록 갱신 요청에 실패하였습니다.	参与人列表更新请求失败！
FXPopCoworkContact:failedCreateTask	Failed to share.	공유 생성을 실패하였습니다.	共享创建失败！
FXPopCoworkContact:maxExceeded	Exceeded the max number of invitees.	최대 초대 인원을 초과하였습니다.	已超过最大人数！
FXPopCoworkContact:notEmail	Enter in e-mail format.	이메일 형식으로 입력해주세요.	请输入正确的电子邮箱地址！
FXPopCoworkContact:alreadyAdded	The item is already selected	이미 선택 목록에 포함되어 있습니다.	已包含在选择列表！
FXPopCoworkContact:isHostAccount	Owner cannot be added	문서 소유자는 추가할 수 없습니다.	不能添加文档所有人！
FXPopCoworkContact:failedSelf	Cannot share with yourself.	자기 자신에게는 공유할 수 없습니다.	不能共享给自己！
FXPopCoworkContact:taskShared	Document shared with %@.	%@님에게 문서를 공유하였습니다.	已向 %@ 共享了文档！
FXPopCoworkContact:taskShared2	Document shared with %@ and %d people.	%@님 외 %d명에게 문서를 공유하였습니다.	已向 %@ 外 %d 人共享了文档！
FXPopCoworkContact:taskStopped	Document shared with '%@' has been stopped.	%@'님과 문서 공유가 중단되었습니다.	与 %@ 的文档共享被中断！
FXPopCoworkContact:taskStopped2	Document shared with'%@' and %d people has been stopped.	%@'님 외 %d 명과 문서 공유가 중단되었습니다.	与 %@ 外 %d 人的文档共享被中断！
FXPopCoworkContact:syncAddressAlert	Do you want to import the device's contact list to Polaris Office address book?	현재의 계정으로 단말에 있는 주소록을\n취합합니다. 진행 하시겠습니까?	使用当前账户，把设备上的通讯录进行整合。\n要继续吗？
FXPopCoworkContact:btnClose	Close	닫기	关闭
FXPopCoworkContact:Delete	Delete	삭제	删除
FXPopCoworkContact:Hide	Hide	숨기기	隐藏
			
FXPopCowork:taskUpdate.isPublic.On	Document share setting is Public.	문서 공유 설정을 공개로 변경하였습니다.	文档共享设置已改为公开！
FXPopCowork:taskUpdate.isPublic.Off	Document share setting is Private.	문서 공유 설정을 비공개로 변경하였습니다.	文档共享设置已改为私人！
FXPopCowork:sendSucces_single	Document shared with %@	%@님에게 문서를 공유하였습니다.	已向 %@ 共享了文档！
FXPopCowork:sendSucces_multi	Document shared with %d users excluding %@.	%@님 외 %d명에게 문서를 공유하였습니다.	已向 %@ 外 %d 人共享了文档！
FXPopCowork:invalidTask	You can't access this document.	해당 문서에 접근 권한이 없습니다.	没有权限访问相应文件！
FXPopCowork:invalidAccess	You are not authorized to access the document.	접근 권한이 없습니다.	没有访问权限！
			
FXPopShareVC:sendWeblinkMailBody	%@<%@> has shared '%@' document's link.\n\n%@\n\n\Polaris Office lets you  collaborate with others and edit your documents anytime and anywhere.\""	%@<%@>님이 '%@' 문서의 링크를 공유하였습니다.\n\n%@\n\nPolaris Office를 통해 문서를 기반으로 동료와 커뮤니케이션하고 언제 어디서나 연속적인 문서 작업을 할 수 있습니다.	%@<%@>共享了\%@\"文件链接。\n\n%@\n\nPolaris Office 是基于文件与同事进行沟通，并随时随地可连续处理文件的云办公服务。"
FXPopShareVC:sendWeblinkMailTitle	%@' document's link has been shared.	%@' 문서의 링크를 공유하였습니다.	共享了\%@\"文件链接"
FXPopShareVC:sendWeblinkFacebook	Document has been shared in Polaris Office.	Polaris Office에서 문서를 공유하였습니다.	在 Polaris Office 共享了文件
FXPopShareVC:sendWeblinkTwitter	Document has been shared in Polaris Office.\n%@ %@	Polaris Office에서 문서를 공유하였습니다.\n%@ %@	在 Polaris Office 共享了文件\n%@ %@
FXPopShareVC:Error_AIRPLANE	Please turn off airplane mode to access the data.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
FXPopShareVC:Alert_NetworkDisconnected	Network connection is disabled.\nPlease check your internet connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！\n请在连接蜂窝移动数据或 Wi-Fi 后使用。
FXPopShareVC:downloading	Downloading...	다운로드 중...	正在下载……
FXPopShareVC:share.kakao.msg	Document has been shared in Polaris Office.	Polaris Office에서 문서를 공유하였습니다.	在 Polaris Office 共享了文件
FXPopShareVC:share.line.msg	Document has been shared in Polaris Office.\n%@	Polaris Office에서 문서를 공유하였습니다.\n%@	在 Polaris Office 共享了文件\n%@ %@
FXPopShareVC:copyToClipboard	Copy to clipboard.	클립보드에 복사되었습니다.	已复制到剪贴板！
FXPopShareVC:btnClose	Close	닫기	关闭
FXPopShareVC:lblTitle	Share Document	문서 공유	文件共享
FXPopShareVC:lblGroupTitle	Share	공유하기	共享
FXPopShareVC:lblLinkTitle	Send Link	링크 보내기	发送链接
FXPopShareVC:lblEmailTitle	Attach to Email	이메일 문서 첨부하기	添加到电子邮件
FXPopShareVC:lblGroup1	Only selected users can access the document	지정된 사용자만 문서에 접근할 수 있습니다.	只有被指定的用户才能访问文件。
FXPopShareVC:lblGroup2	Modified content will be automatically shared	문서를 수정하면 업데이트된 내용이 자동 공유됩니다.	文件被修改时，所更改的内容会被自动共享。
FXPopShareVC:lblGroup3	Sharing can be restricted if necessary	필요하면 공유를 취소하여 접근 못하게 할 수 있습니다.	必要时可以取消共享，禁止访问。
FXPopShareVC:lblLink1	Anyone with the link can view the document	링크를 알고 있는 사용자는 누구나 문서를 볼 수 있습니다.	知道链接的用户，都可以查看文件。
FXPopShareVC:lblLink2	People without an office program can also view the document	오피스 프로그램이 없더라도 문서를 볼 수 있습니다.	没有安装 Office 程序也能查看文件。
FXPopShareVC:lblLink3	You may unlink the document if necessary	필요하면 링크를 해제하여 접근 못하게 할 수 있습니다.	必要时可以解除链接，禁止访问。
FXPopShareVC:lblEmail1	Send document by email	이메일로 문서 파일을 전달합니다.	通过电子邮件传送文件。
FXPopShareVC:lblEmail2	You cannot cancel sending.	전달된 문서는 회수하거나 취소할 수 없습니다.	已发送的文件不能回收或取消。
FXPopShareVC:lblEmail3	Large files may not be sent.	파일 용량에 따라 전달이 되지 않을 수 있습니다.	根据文件大小，有可能无法传送。
FXPopShareVC:exceptionZip	ZIP files cannot be shared	압축 파일은 공유하거나 링크 보내기 할 수 없습니다.	ZIP文件不能被共享或者通过链接发送。
FXPopShareVC:exceptionPcloud	You need to synchronize the document first to share it.	동기화되지 않은 문서는 공유하거나 링크 보내기 할 수 없습니다.	不同步的文件不能被共享或通过链接发送。
FXPopShareVC:exceptionGuest	A dcoument shared by other party cannot be distributed by email or link.	공유받은 문서는 링크를 보내거나 메일 전송 할 수 없습니다.	收到的共享文件可以不通过电子邮件或链接被发送。
			
FXPCloudLoginVC:login	Sign In	로그인	登录
FXPCloudLoginVC:join	Sign Up	회원가입	注册会员
FXPCloudLoginVC:title_1	Easy Documentation	쉬운 문서 편집	轻松完成文档编辑
FXPCloudLoginVC:title_2	Always Up-To-Date	어디서든 빠른 문서 확인	文档确认更快捷
FXPCloudLoginVC:title_3	Various Cloud Service	다양한 클라우드 서비스 연동	联动云服务
FXPCloudLoginVC:title_4		환영합니다!	欢迎您！
FXPCloudLoginVC:title_5		종이 없는 회의	无纸会议
FXPCloudLoginVC:title_6		손쉬운 문서 작업	轻松完成文档编辑
FXPCloudLoginVC:title_7		편리한 문서 공유	文档共享超方便
FXPCloudLoginVC:body_1	View, Edit and Share Documents	모바일 기기에서 문서를 보고 편집할 수 있습니다	可以在手机或平板电脑上查看和编辑文档。
FXPCloudLoginVC:body_2	Save your work,\nit's updated on all connected device	저장한 문서는 모든 디바이스에 최신 상태로 유지 됩니다	保存的文档会在所有设备上保持最新状态。
FXPCloudLoginVC:body_3	Supports connect to multiple\nCloud Services at the same time	클라우드에 저장한 문서를 자유롭게 이용할 수 있습니다	您可以使用各种云服务
FXPCloudLoginVC:body_4		로그인 한번으로 모든 기기에서\n문서를 자유롭게 확인할 수 있습니다	一次登录即可在所有设备上自由查看文档。
FXPCloudLoginVC:body_5		프로젝터나 인쇄물 없이도 사람들과 각자의 모바일 기기로\n같은 문서를 보면서 회의를 할 수 있습니다	无需进行繁琐的幻灯片打印，即可在各自的设备上同步播放幻灯片。
FXPCloudLoginVC:body_6		모바일에서도 PC처럼 문서를 보고 편집할 수 있습니다	在移动设备上也能像 PC 一样查看和编辑文档。
FXPCloudLoginVC:body_7		문서를 공유하고 내용에 대해서 자유롭게 이야기 하세요	向好友、同事共享自己的文档，在线讨论文档内容。
FXPCloudLoginVC:body_1_p	View, Edit and Share Documents	모바일 기기에서 문서를 보고 편집할 수 있습니다	可以在手机或平板电脑上查看和编辑文档。
FXPCloudLoginVC:body_2_p	Save your work,\nit's updated on all connected device	저장한 문서는 모든 디바이스에 \n최신 상태로 유지 됩니다	保存的文档会在所有设备上保持最新状态。
FXPCloudLoginVC:body_3_p	Connect to your cloud services and manage documents	클라우드에 저장한 문서를 자유롭게 이용할 수 있습니다	您可以使用各种云服务
FXPCloudLoginVC:body_4_p		로그인 한번으로 모든 기기에서\n문서를 자유롭게 확인할 수 있습니다	一次登录即可在所有设备上自由查看文档。
FXPCloudLoginVC:body_5_p		프로젝터나 인쇄물 없이도 사람들과\n각자의 모바일 기기로 같은 문서를 보면서\n회의를 할 수 있습니다	无需进行繁琐的幻灯片打印，\n即可在各自的设备上同步播放幻灯片。
FXPCloudLoginVC:body_6_p		모바일에서도 PC처럼\n문서를 보고 편집할 수 있습니다	在移动设备上也能像 PC 一样查看和编辑文档。
FXPCloudLoginVC:body_7_p		문서를 공유하고 내용에 대해서\n자유롭게 이야기 하세요	向好友、同事共享自己的文档，在线讨论文档内容。
			
FSettingDevice:lastAccessTime	Last Connection : %@	마지막 접속: %@	上次访问时间：%@
FSettingDevice:lastAccessTime.dateformat	yyyy/MM/dd HH:mm	yyyy/MM/dd HH:mm	yyyy/MM/dd HH:mm
FSettingDevice:disconnectDevice	Do you want to disconnect'%@'\n?	%@'\n연결을 해제하시겠습니까?	%@\n要解除连接吗？
FSettingDevice:disconnectDeviceFail	Fail to disconnect the device	디바이스 연결 해제에 실패하였습니다.	设备连接解除失败！
			
PopCoworkLink:lblDescription	Create a public link for everyone to view the document..	누구나 문서를 볼 수 있도록 공개 링크를 생성하여 메일로 보내거나 웹에 게시할 수 있습니다.	可生成公开链接，以电子邮件发送或提交到网络，任何人都能在线查看相应文档。
PopCoworkLink:btnCopy	Copy	복사하기	复制
			
FXSettingRecommendVC:lblDesc1Phone	Invite a friend and you will both get 100MB of extra space when they register. (Max 600MB)	Polaris Office에 친구나 동료를\n초대하고, 최대 600MB의 보너스 용량을 받으세요.	邀请好友或同事，\n获赠最多 600MB 的奖励空间。
FXSettingRecommendVC:lblDesc1	Invite a friend and you will both get 100MB of extra space when they register. (Max 600MB)	Polaris Office에 친구나 동료를 초대하고,\n최대 600MB의 보너스 용량을 받으세요.	邀请好友或同事，获赠最多 600MB 的奖励空间。
FXSettingRecommendVC:lblDesc2	Invite a friend and you will both get 100MB of extra space when they register. (Max 600MB)	나와 초대로 가입한 사람에게 100MB의 보너스 용량을 제공합니다. (최대 600MB)	我和接受我的邀请注册的用户可获得 100MB 奖励空间。(最多 600MB)
FXSettingRecommendVC:btnEmail	Email	이메일	电子邮件
FXSettingRecommendVC:btnFacebook	Facebook	페이스북	Facebook
FXSettingRecommendVC:btnTwitter	Twitter	트위터	Twitter
FXSettingRecommendVC:lblIntroduce	Introduce By	소개하기	介绍
FXSettingRecommendVC:btnKakao	Kakao	카카오톡	KakaoTalk
FXSettingRecommendVC:btnLine	Line	라인	Line
			
FXSettingRecMainVC:lblExplain	Get More Storage To Store More Documents	더 많은 문서를 저장하기 위해 용량을 추가해 보세요.	您可以增加容量，存储更多文档。
FXSettingRecMainVC:lblExplainP	Get More Storage To Store More Documents	더 많은 문서를 저장하기 위해\n용량을 추가해 보세요.	您可以增加容量，\n存储更多文档。
FXSettingRecMainVC:titleUpgrade	Upgrade Your Account	계정을 업그레이드 해보세요.	您可以升级您的账户。
FXSettingRecMainVC:titleRecommend	Invite Your Friends	친구, 가족, 동료들에게 추천해 보세요.	您可以推荐给好友和同事。
FXSettingRecMainVC:titleInstall	Install PC App	PC용 App을 설치해 보세요.	您可以安装 PC 客户端。
FXSettingRecMainVC:lblUpgrade	Upgrade to premium and get 5GB of additional storage, sync up to 5 devices, and more	Premium 계정이 되시면 5GB의 추가용량 뿐만 아니라,\n보안, 기기 추가 등 다양한 기능을 경험하실 수 있습니다.	升级到高级账户时，不仅能获得 5GB 的额外容量，\n还能获得安全、设备增加等丰富的新功能。
FXSettingRecMainVC:lblRecommend	Invite your friends and you will both earn an additional 100MB storage.	초대한 사람과 초대로 가입한 사람 모두에게\n100MB의 보너스 용량을 제공합니다.	发送邀请和接受邀请后注册的用户，\n都能获得 100MB 的奖励空间。
FXSettingRecMainVC:lblInstall	Install desktop app for windows and earn an additional 300MB of storage.	지금 설치하시면 300MB의 보너스 용량과\n문서를 더욱 쉽고 빠르게 업/다운로드 할 수 있습니다.	现在安装即可获得 300MB 的奖励空间，\n能更快捷地进行文档下载和上传。
FXSettingRecMainVC:lblUpgradePhone	Upgrade to premium and get 5GB of additional storage, sync up to 5 devices, and more	Premium 계정이 되시면 5GB의\n추가용량 뿐만 아니라, 보안, 기기 추가 등\n다양한 기능을 경험하실 수 있습니다.	升级到高级账户时，\n不仅能获得 5GB 的额外容量，\n还能获得安全、设备增加\n等丰富的新功能。
FXSettingRecMainVC:lblRecommendPhone	Invite your friends and you will both earn an additional 100MB storage.	초대한 사람과 초대로 가입한 사람\n모두에게 100MB의 보너스 용량을\n제공합니다.	发送邀请和接受邀请后注册的用户，\n都能获得 100MB 的奖励空间。
FXSettingRecMainVC:lblInstallPhone	Install desktop app for windows and earn an additional 300MB of storage.	지금 설치하시면 300MB의 보너스 용량과\n문서를 더욱 쉽고 빠르게 업/다운로드\n할 수 있습니다.	现在安装即可获得 300MB 的奖励空间，\n能更快捷地进行文档下载和上传。
FXSettingRecMainVC:btnUpgrade	Upgrade Account >	계정 업그레이드 하기 >	升级账户 >
FXSettingRecMainVC:btnRecommend	Invite Now >	지금 추천하기 >	马上推荐>
FXSettingRecMainVC:btnInstall	Install Now >	이메일로 다운로드 링크 보내기 >	马上确认>
FXSettingRecMainVC:requesting	Requesting...	요청 중에 있습니다.	要求...
FXSettingRecMainVC:sendComplete	Email sent	메일 전송이 완료 되었습니다.	发送电子邮件已经完成。
FXSettingRecMainVC:Error_AIRPLANE	Please turn off airplane mode to access the data.	데이터에 접근하려면, \n에어플레인 모드를 해제해 주세요.	要访问数据，请先解除飞行模式。
FXSettingRecMainVC:LinkError	The network is busy.\nPlease try it again later.	네트워크 상태가 원활하지 않습니다.\n잠시 후 다시 시도해 주세요.	网络状态不稳定，请稍后再试
			
FXSettingRecListCell:premium	Service Introduction >	서비스 소개 >	业务介绍>
FXSettingRecListCell:upgrade	Upgrade account >	계정 업그레이드 하기 >	升级账户>
			
FXMessengerVC:titleLabel	Notifications	알림	通知
			
FXNoticeSyncVC:synchonized	Synchronized	동기화 완료	完成同步
FXNoticeSyncVC:performSynchonized	Synchronizing...	동기화 중	正在同步
FXNoticeSyncVC:disconnected	Disconnected	네트워크 연결 안됨	无法连接网络
			
FXSettingEditInfoVC:lblName	Change your name.	이름을 변경합니다.	更改姓名
FXSettingEditInfoVC:lblPassword	Change your password.	비밀번호를 변경합니다.	更改密码
FXSettingEditInfoVC:firstName	Full name	성명	名
FXSettingEditInfoVC:lastName	Last name	성	姓
FXSettingEditInfoVC:password	Password	비밀번호	密码
FXSettingEditInfoVC:btnDone	Done	확인	确认
FXSettingEditInfoVC:curPassword	Current Password	현재 비밀번호	当前密码
FXSettingEditInfoVC:newPassword	New Password	새 비밀번호	新密码
FXSettingEditInfoVC:conPassword	Confirm Password	비밀번호 확인	确认密码
FXSettingEditInfoVC:changeComplete	Changed	변경이 완료 되었습니다.	完成更改
FXSettingEditInfoVC:againPassword	Enter new password again.	새로운 비밀번호를 다시 입력해 주시기 바랍니다.	请重新输入新密码
FXSettingEditInfoVC:sameName	It cannot be changed to the same information.	동일한 정보로 변경할 수 없습니다.	不能改为相同内容
